ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
661070970,Photo,White-banded Tyrannulet,Mecocerculus stictopterus,,,Ian Burgess,2025-09-02,2025,9,2,834,Colombia,CO-CAL,Caldas,,Hacienda El Bosque,5.0246844,-75.3695476,"",,Unspecified,false,false,,,,,,,S271122306,"",,,,,Mecocerculus stictopterus,whbtyr1,Species,16578,,.00,0,,913,1211
661070969,Photo,White-banded Tyrannulet,Mecocerculus stictopterus,,,Ian Burgess,2025-09-02,2025,9,2,834,Colombia,CO-CAL,Caldas,,Hacienda El Bosque,5.0246844,-75.3695476,"",,Unspecified,false,false,,,,,,,S271122306,"",,,,,Mecocerculus stictopterus,whbtyr1,Species,16578,,.00,0,,856,1137
661068520,Photo,Glossy Flowerpiercer,Diglossa lafresnayii,,,Edwar H Guarín (@edwarhguarin),2026-06-13,2026,6,13,1204,Colombia,CO-CAL,Caldas,,Hotel Termales del Ruíz,4.9700471,-75.3780127,"","",Unspecified,"","",,,,,,,S356850381,"",,,,,Diglossa lafresnayii,gloflo1,Species,35274,,.00,0,Habitat,,
661068314,Photo,Scarlet-bellied Mountain Tanager,Anisognathus igniventris,,,Edwar H Guarín (@edwarhguarin),2026-06-13,2026,6,13,1204,Colombia,CO-CAL,Caldas,,Hotel Termales del Ruíz,4.9700471,-75.3780127,"","",Unspecified,"","",,,,,,,S356850381,"",,,,,Anisognathus igniventris,sbmtan1,Species,34883,,.00,0,Habitat,,
661068051,Photo,Gray-browed Brushfinch,Arremon assimilis,,,Edwar H Guarín (@edwarhguarin),2026-06-15,2026,6,15,823,Colombia,CO-CAL,Caldas,,"Reserva Ecológica Río Blanco, Manizales CO-Caldas 5.07619, -75.43757",5.0761880,-75.4375650,"","",Unspecified,"","",,,,,,,S357987033,"",,,,,Arremon assimilis,sthbrf8,Species,33041,,.00,0,Habitat,,
661067808,Photo,Smoke-colored Pewee,Contopus fumigatus,,,Edwar H Guarín (@edwarhguarin),2026-06-15,2026,6,15,823,Colombia,CO-CAL,Caldas,,"Reserva Ecológica Río Blanco, Manizales CO-Caldas 5.07619, -75.43757",5.0761880,-75.4375650,"","",Unspecified,"","",,,,,,,S357987033,"",,,,,Contopus fumigatus,smcpew1,Species,16896,,.00,0,Habitat,,
661066550,Photo,Great Sapphirewing,Pterophanes cyanopterus,,,Edwar H Guarín (@edwarhguarin),2026-06-13,2026,6,13,1204,Colombia,CO-CAL,Caldas,,Hotel Termales del Ruíz,4.9700471,-75.3780127,"","",Unspecified,"","",,,,,,,S356850381,"",,,,,Pterophanes cyanopterus,gresap1,Species,4668,,.00,0,Habitat,,
661066393,Photo,Rainbow-bearded Thornbill,Chalcostigma herrani,,,Edwar H Guarín (@edwarhguarin),2026-06-13,2026,6,13,855,Colombia,CO-CAL,Caldas,,"Termales, Villamaria CO-Caldas 4.96852, -75.35278",4.9685150,-75.3527810,"",Foraging or Eating,Unspecified,"","",,,,,,,S356846023,"",,,,Hembra forrajeando,Chalcostigma herrani,rabtho1,Species,4530,,.00,0,"",874,1335
661066166,Photo,Shining Sunbeam,Aglaeactis cupripennis,,,Edwar H Guarín (@edwarhguarin),2026-06-13,2026,6,13,1204,Colombia,CO-CAL,Caldas,,Hotel Termales del Ruíz,4.9700471,-75.3780127,"",Foraging or Eating,Unspecified,"","",,,,,,,S356850381,"",,,,,Aglaeactis cupripennis,shisun1,Species,4604,,.00,0,"",,
661051004,Photo,Mountain Elaenia,Elaenia frantzii,,,Ian Burgess,2025-09-01,2025,9,1,1251,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270968716,"",,,,,Elaenia frantzii,mouela1,Species,16725,,.00,0,,1297,1721
661050914,Photo,Chestnut-crowned Antpitta,Grallaria ruficapilla,,,Ian Burgess,2025-09-01,2025,9,1,1251,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270968716,"",,,,,Grallaria ruficapilla,chcant2,Species,14234,,.00,0,,2785,3697
661050668,Photo,Montane Woodcreeper,Lepidocolaptes lacrymiger,,,Ian Burgess,2025-09-01,2025,9,1,1251,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270968716,"",,,,,Lepidocolaptes lacrymiger,monwoo1,Species,14946,,.00,0,,1500,1992
661050667,Photo,Montane Woodcreeper,Lepidocolaptes lacrymiger,,,Ian Burgess,2025-09-01,2025,9,1,1251,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270968716,"",,,,,Lepidocolaptes lacrymiger,monwoo1,Species,14946,,.00,0,,1891,2511
661050296,Photo,Band-tailed Pigeon,Patagioenas fasciata,,,Ian Burgess,2025-09-01,2025,9,1,1251,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270968716,"",,,,,Patagioenas fasciata,batpig1,Species,1966,,.00,0,,1631,2166
661050295,Photo,Band-tailed Pigeon,Patagioenas fasciata,,,Ian Burgess,2025-09-01,2025,9,1,1251,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270968716,"",,,,,Patagioenas fasciata,batpig1,Species,1966,,.00,0,,1633,2167
661050179,Photo,Andean Motmot,Momotus aequatorialis,,,Ian Burgess,2025-09-01,2025,9,1,1251,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270968716,"",,,,,Momotus aequatorialis,higmot1,Species,9880,,.00,0,,4057,4285
661049837,Photo,Pale-edged Flycatcher,Myiarchus cephalotes,,,Ian Burgess,2025-09-01,2025,9,1,1251,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270968716,"",,,,,Myiarchus cephalotes,paefly1,Species,17320,,.00,0,,1255,1665
661049509,Photo,Mountain Elaenia,Elaenia frantzii,,,Ian Burgess,2025-09-01,2025,9,1,1251,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270968716,"",,,,,Elaenia frantzii,mouela1,Species,16725,,.00,0,,2739,3635
661049228,Photo,Mountain Elaenia,Elaenia frantzii,,,Ian Burgess,2025-09-01,2025,9,1,1251,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270968716,"",,,,,Elaenia frantzii,mouela1,Species,16725,,.00,0,,1311,1739
661046628,Photo,Chestnut-crowned Antpitta,Grallaria ruficapilla,,,Russ Ruffing,2026-01-31,2026,1,31,639,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,Adult – 1,,Unspecified,false,false,,,,,,,S297308042,"",,,,,Grallaria ruficapilla,chcant2,Species,14234,,4.00,1,,3139,4709
661046524,Photo,Chestnut-crowned Antpitta,Grallaria ruficapilla,,,Russ Ruffing,2026-01-31,2026,1,31,639,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,Adult – 1,,Unspecified,false,false,,,,,,,S297308042,"",,,,,Grallaria ruficapilla,chcant2,Species,14234,,4.00,1,,4640,5943
661036956,Photo,Collared Inca,Coeligena torquata,,,Russ Ruffing,2026-01-31,2026,1,31,639,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,Adult Male – 1,,Unspecified,false,false,,,,,,,S297308042,"",,,,,Coeligena torquata,colinc1,Species,4623,,2.00,1,,3293,4939
661036785,Photo,Collared Inca,Coeligena torquata,,,Russ Ruffing,2026-01-31,2026,1,31,639,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,Adult Male – 1,,Unspecified,false,false,,,,,,,S297308042,"",,,,,Coeligena torquata,colinc1,Species,4623,,3.00,1,,3465,5197
661035653,Photo,Black-chested Buzzard-Eagle,Geranoaetus melanoleucus,,,Luis Hernández(@Birdsbyluishernandez),2026-07-08,2026,7,8,1239,Colombia,CO-CAL,Caldas,,PNN los Nevados - El Cisne,4.8524316,-75.3651213,"",,Unspecified,false,false,,,,,,,S369574546,"",,,,,Geranoaetus melanoleucus,bcbeag1,Species,8458,,4.00,1,,2772,3746
661035644,Photo,Buffy Helmetcrest,Oxypogon stuebelii,,,Luis Hernández(@Birdsbyluishernandez),2026-07-08,2026,7,8,1239,Colombia,CO-CAL,Caldas,,PNN los Nevados - El Cisne,4.8524316,-75.3651213,Adult Female – 1,,Unspecified,false,false,,,,,,,S369574546,"",,,,,Oxypogon stuebelii,bufhel1,Species,4533,,5.00,1,,3151,1950
661035591,Photo,Andean Tit-Spinetail,Leptasthenura andicola,,,Luis Hernández(@Birdsbyluishernandez),2026-07-08,2026,7,8,1709,Colombia,CO-CAL,Caldas,,PNN los Nevados - El Cisne,4.8524316,-75.3651213,"",,Unspecified,false,false,,,,,,,S369575842,"",,,,,Leptasthenura andicola,antspi1,Species,15336,,4.00,1,,4000,2469
661035581,Photo,Buffy Helmetcrest,Oxypogon stuebelii,,,Luis Hernández(@Birdsbyluishernandez),2026-07-08,2026,7,8,1709,Colombia,CO-CAL,Caldas,,PNN los Nevados - El Cisne,4.8524316,-75.3651213,Adult Male – 1,,Unspecified,false,false,,,,,,,S369575842,"",,,,,Oxypogon stuebelii,bufhel1,Species,4533,,4.00,1,,2643,4119
661035135,Photo,Red-headed Barbet,Eubucco bourcierii,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,,Eubucco bourcierii,rehbar1,Species,10818,,.00,0,,720,1088
661035079,Photo,Golden-crowned Warbler,Basileuterus culicivorus,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,,Basileuterus culicivorus,gcrwar,Species,34250,,.00,0,,1080,1620
661035078,Photo,Golden-crowned Warbler,Basileuterus culicivorus,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,,Basileuterus culicivorus,gcrwar,Species,34250,,.00,0,,1080,1620
661034891,Photo,Fawn-breasted Brilliant,Heliodoxa rubinoides,,,Ian Burgess,2025-09-01,2025,9,1,1251,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270968716,"",,,,,Heliodoxa rubinoides,fabbri1,Species,4702,,5.00,1,,2181,2896
661034795,Photo,Dusky-capped Flycatcher,Myiarchus tuberculifer,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,"2 calling to eachother, 16:47, pic",Myiarchus tuberculifer,ducfly,Species,17284,,.00,0,,720,1088
661034796,Photo,Dusky-capped Flycatcher,Myiarchus tuberculifer,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,"2 calling to eachother, 16:47, pic",Myiarchus tuberculifer,ducfly,Species,17284,,.00,0,,960,1440
661034797,Photo,Dusky-capped Flycatcher,Myiarchus tuberculifer,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,"2 calling to eachother, 16:47, pic",Myiarchus tuberculifer,ducfly,Species,17284,,.00,0,,720,1088
661034755,Photo,"Azara's Spinetail",Synallaxis azarae,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,Was around for a long time. Very vocal  audio available. Managed to get it on picture eventually.,Synallaxis azarae,azaspi1,Species,15635,,.00,0,,960,1440
661034750,Photo,"Azara's Spinetail",Synallaxis azarae,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,Was around for a long time. Very vocal  audio available. Managed to get it on picture eventually.,Synallaxis azarae,azaspi1,Species,15635,,.00,0,,960,1440
661034756,Photo,"Azara's Spinetail",Synallaxis azarae,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,Was around for a long time. Very vocal  audio available. Managed to get it on picture eventually.,Synallaxis azarae,azaspi1,Species,15635,,.00,0,,960,1440
661034751,Photo,"Azara's Spinetail",Synallaxis azarae,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,Was around for a long time. Very vocal  audio available. Managed to get it on picture eventually.,Synallaxis azarae,azaspi1,Species,15635,,.00,0,,960,1440
661034752,Photo,"Azara's Spinetail",Synallaxis azarae,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,Was around for a long time. Very vocal  audio available. Managed to get it on picture eventually.,Synallaxis azarae,azaspi1,Species,15635,,.00,0,,720,1088
661034754,Photo,"Azara's Spinetail",Synallaxis azarae,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,Was around for a long time. Very vocal  audio available. Managed to get it on picture eventually.,Synallaxis azarae,azaspi1,Species,15635,,.00,0,,960,1440
661034757,Photo,"Azara's Spinetail",Synallaxis azarae,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,Was around for a long time. Very vocal  audio available. Managed to get it on picture eventually.,Synallaxis azarae,azaspi1,Species,15635,,.00,0,,720,1088
661034753,Photo,"Azara's Spinetail",Synallaxis azarae,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,Was around for a long time. Very vocal  audio available. Managed to get it on picture eventually.,Synallaxis azarae,azaspi1,Species,15635,,.00,0,,1080,1620
661034659,Photo,Common Squirrel-Cuckoo,Piaya cayana,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,,Piaya cayana,squcuc1,Species,3218,,.00,0,,1080,1620
661034660,Photo,Common Squirrel-Cuckoo,Piaya cayana,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,,Piaya cayana,squcuc1,Species,3218,,.00,0,,1080,1620
661034657,Photo,Common Squirrel-Cuckoo,Piaya cayana,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,,Piaya cayana,squcuc1,Species,3218,,.00,0,,1080,1620
661034658,Photo,Common Squirrel-Cuckoo,Piaya cayana,,,Laurenske Sierkstra,2026-07-08,2026,7,8,1638,Colombia,CO-CAL,Caldas,,Lodge Paraíso Verde - Manizales,5.0890114,-75.5333151,"",,Unspecified,false,false,,,,,,,S369568020,"",,,,,Piaya cayana,squcuc1,Species,3218,,.00,0,,1080,1620
661034528,Photo,Buff-tailed Coronet,Boissonneaua flavescens,,,Ian Burgess,2025-09-01,2025,9,1,1251,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270968716,"",,,,,Boissonneaua flavescens,butcor1,Species,4672,,5.00,1,,1939,2573
661034379,Photo,Brown-capped Vireo,Vireo leucophrys,,,Ian Burgess,2025-09-01,2025,9,1,801,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270912504,"",,,,,Vireo leucophrys,brcvir1,Species,19253,,.00,0,,971,1287
661033702,Photo,White-sided Flowerpiercer,Diglossa albilatera,,,Ian Burgess,2025-09-01,2025,9,1,801,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270912504,"",,,,,Diglossa albilatera,whsflo1,Species,35291,,.00,0,,1691,2245
661033147,Photo,Fawn-breasted Brilliant,Heliodoxa rubinoides,,,Ian Burgess,2025-09-01,2025,9,1,801,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270912504,"",,,,,Heliodoxa rubinoides,fabbri1,Species,4702,,.00,0,,2736,3632
661033093,Photo,Buff-tailed Coronet,Boissonneaua flavescens,,,Ian Burgess,2025-09-01,2025,9,1,801,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270912504,"",,,,,Boissonneaua flavescens,butcor1,Species,4672,,.00,0,,4640,6160
661032926,Photo,"Azara's Spinetail",Synallaxis azarae,,,Ian Burgess,2025-09-01,2025,9,1,801,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270912504,"",,,,,Synallaxis azarae,azaspi1,Species,15635,,.00,0,,2885,4323
661032910,Photo,Gray-browed Brushfinch,Arremon assimilis,,,Ian Burgess,2025-09-01,2025,9,1,801,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270912504,"",,,,,Arremon assimilis,sthbrf8,Species,33041,,.00,0,,2685,4027
661032890,Photo,Lesser Violetear,Colibri cyanotus,,,Ian Burgess,2025-09-01,2025,9,1,801,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270912504,"",,,,,Colibri cyanotus,lesvio1,Species,4359,,.00,0,,3751,4979
661032885,Photo,Mountain Velvetbreast,Lafresnaya lafresnayi,,,Ian Burgess,2025-09-01,2025,9,1,801,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270912504,"",,,,,Lafresnaya lafresnayi,mouvel1,Species,4659,,.00,0,,2007,2665
661032868,Photo,White-bellied Woodstar,Chaetocercus mulsant,,,Ian Burgess,2025-09-01,2025,9,1,801,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270912504,"",,,,,Chaetocercus mulsant,whbwoo6,Species,4782,,.00,0,,1158,1537
661032867,Photo,White-bellied Woodstar,Chaetocercus mulsant,,,Ian Burgess,2025-09-01,2025,9,1,801,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270912504,"",,,,,Chaetocercus mulsant,whbwoo6,Species,4782,,.00,0,,1168,1551
661032779,Photo,Speckled Hummingbird,Adelomyia melanogenys,,,Ian Burgess,2025-09-01,2025,9,1,801,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270912504,"",,,,,Adelomyia melanogenys,spehum1,Species,4460,,.00,0,,2750,3651
661032773,Photo,Fawn-breasted Brilliant,Heliodoxa rubinoides,,,Ian Burgess,2025-09-01,2025,9,1,801,Colombia,CO-CAL,Caldas,,"Owl's Watch",5.0820300,-75.4462320,"",,Unspecified,false,false,,,,,,,S270912504,"",,,,,Heliodoxa rubinoides,fabbri1,Species,4702,,.00,0,,3949,5243
661010495,Photo,Crescent-faced Antpitta,Grallaricula lineifrons,,,Cayce Jehaimi,2026-07-05,2026,7,5,904,Colombia,CO-CAL,Caldas,,Hacienda El Bosque,5.0246844,-75.3695476,"",,Unspecified,false,false,,,,,,,S368032800,"",,,,,Grallaricula lineifrons,crfant1,Species,14363,,5.00,1,,6722,5378
661010494,Photo,Crescent-faced Antpitta,Grallaricula lineifrons,,,Cayce Jehaimi,2026-07-05,2026,7,5,904,Colombia,CO-CAL,Caldas,,Hacienda El Bosque,5.0246844,-75.3695476,"",,Unspecified,false,false,,,,,,,S368032800,"",,,,,Grallaricula lineifrons,crfant1,Species,14363,,5.00,1,,4579,3663
661010493,Photo,Crescent-faced Antpitta,Grallaricula lineifrons,,,Cayce Jehaimi,2026-07-05,2026,7,5,904,Colombia,CO-CAL,Caldas,,Hacienda El Bosque,5.0246844,-75.3695476,"",,Unspecified,false,false,,,,,,,S368032800,"",,,,,Grallaricula lineifrons,crfant1,Species,14363,,5.00,1,,4816,3853
661006532,Photo,White-browed Spinetail,Hellmayrea gularis,,,Dorian Anderson,2026-03-25,2026,3,25,710,Colombia,CO-CAL,Caldas,,Hacienda El Bosque,5.0246844,-75.3695476,Adult – 1,,Unspecified,false,false,,,,,,,S313109926,"",,,,,Hellmayrea gularis,whbspi2,Species,15366,,5.00,3,,3698,5545
660990113,Photo,Black-collared Jay,Cyanolyca armillata,,,David Piza,2026-05-01,2026,5,1,1117,Colombia,CO-CAL,Caldas,,El Color de mis Rêves,4.9903550,-75.4074960,"",,Unspecified,false,false,,,,,,,S330544875,"",,,,,Cyanolyca armillata,blcjay2,Species,21205,,.00,0,,1350,2160
660982375,Photo,Long-tailed Sylph,Aglaiocercus kingii,,,David Piza,2026-05-02,2026,5,2,1442,Colombia,CO-CAL,Caldas,,El Color de mis Rêves,4.9903550,-75.4074960,"",,Unspecified,false,false,,,,,,,S331353048,"",,,,,Aglaiocercus kingii,lotsyl1,Species,4471,,.00,0,,2048,1639
660979392,Photo,Bay-headed Tanager,Tangara gyrola,,,Dorian Anderson,2026-03-24,2026,3,24,1510,Colombia,CO-CAL,Caldas,,"Reserva Don Miguel, Villamaría",4.9985250,-75.5410080,Adult – 1,,Unspecified,false,false,,,,,,,S312855537,"",,,,,Tangara gyrola,bahtan1,Species,35088,,4.90,10,,3912,5865
